date,level,time,result,depth,moves,heuristic,agent
2022/12/11 19:44:49,log2,0:00:08.471722,0,4,803,mixed,minimax
2022/12/11 19:45:44,log2,0:00:16.078740,1,4,1015,mixed,minimax
2022/12/11 19:45:52,log2,0:00:08.314670,1,4,970,mixed,minimax
2022/12/11 19:46:02,log2,0:00:10.121913,0,4,914,mixed,minimax
2022/12/11 19:46:14,log2,0:00:12.107595,1,4,958,mixed,minimax
2022/12/11 19:46:24,log2,0:00:10.005635,1,4,949,mixed,minimax
2022/12/11 19:46:38,log2,0:00:13.341214,0,4,873,mixed,minimax
2022/12/11 19:46:50,log2,0:00:12.256055,1,4,1045,mixed,minimax
2022/12/11 19:47:01,log2,0:00:11.425186,0,4,937,mixed,minimax
2022/12/11 19:47:11,log2,0:00:09.812017,1,4,986,mixed,minimax
2022/12/11 19:47:22,log2,0:00:10.471206,0,4,936,mixed,minimax
2022/12/11 19:47:29,log2,0:00:07.592108,0,4,872,mixed,minimax
2022/12/11 19:47:40,log2,0:00:10.591563,1,4,937,mixed,minimax
2022/12/11 19:47:53,log2,0:00:13.261663,1,4,989,mixed,minimax
2022/12/11 19:48:06,log2,0:00:13.278501,1,4,1021,mixed,minimax
2022/12/11 19:48:11,log2,0:00:04.385310,0,4,477,mixed,minimax
2022/12/11 19:48:22,log2,0:00:10.908019,1,4,1101,mixed,minimax
2022/12/11 19:48:31,log2,0:00:09.871331,0,4,1026,mixed,minimax
2022/12/11 19:48:42,log2,0:00:10.110961,1,4,944,mixed,minimax
2022/12/11 19:48:51,log2,0:00:09.145323,0,4,959,mixed,minimax
2022/12/11 19:49:06,log2,0:00:15.319458,1,4,1011,mixed,minimax
2022/12/11 19:49:17,log2,0:00:10.760822,1,4,1017,mixed,minimax
2022/12/11 19:49:23,log2,0:00:06.497293,0,4,724,mixed,minimax
2022/12/11 19:49:34,log2,0:00:11.103644,0,4,1039,mixed,minimax
2022/12/11 19:49:45,log2,0:00:10.476544,0,4,1054,mixed,minimax
2022/12/11 19:49:59,log2,0:00:14.439068,0,4,926,mixed,minimax
2022/12/11 19:50:09,log2,0:00:09.737463,0,4,942,mixed,minimax
2022/12/11 19:50:22,log2,0:00:12.869151,0,4,1022,mixed,minimax
2022/12/11 20:08:43,log2,0:01:08.850906,0,4,203,mixed,expecti-cut2
2022/12/11 20:10:17,log2,0:00:50.114629,0,4,398,mixed,expecti-cut2
2022/12/11 20:18:47,log2,0:03:41.658600,1,5,1026,mixed,expectimax
2022/12/11 20:22:41,log2,0:03:53.989666,1,5,1022,mixed,expectimax
2022/12/11 20:26:08,log2,0:03:26.513202,0,5,973,mixed,expectimax
